Treating.Clinician,Hospital,total,target,percentage,hospital_each_average,hospital_all_average
90015901,MMC- Clayton,2,0,0,9.21,7.96
90016143,Dandenong,1,0,0,6.52,7.96
90018068,Casey,5,0,0,6.07,7.96
90018068,MMC- Clayton,2,0,0,9.21,7.96
90018863,Casey,13,3,23,6.07,7.96
90018863,MMC- Clayton,4,0,0,9.21,7.96
90019764,MMC- Clayton,5,0,0,9.21,7.96
90020817,Dandenong,8,0,0,6.52,7.96
90020817,MMC- Clayton,3,0,0,9.21,7.96
90021003,Dandenong,4,0,0,6.52,7.96
90022682,MMC- Clayton,3,0,0,9.21,7.96
90023171,MMC- Clayton,19,7,36,9.21,7.96
90024040,MMC- Clayton,14,2,14,9.21,7.96
90024223,Casey,4,0,0,6.07,7.96
90024223,Dandenong,1,0,0,6.52,7.96
90024223,MMC- Clayton,4,0,0,9.21,7.96
90024320,MMC- Clayton,15,2,13,9.21,7.96
90024716,Casey,1,0,0,6.07,7.96
90025727,Dandenong,3,0,0,6.52,7.96
90026166,MMC- Clayton,38,6,15,9.21,7.96
90027194,Casey,1,0,0,6.07,7.96
90028087,Casey,1,0,0,6.07,7.96
90028254,Dandenong,6,3,50,6.52,7.96
90028254,MMC- Clayton,21,3,14,9.21,7.96
90029255,Casey,1,0,0,6.07,7.96
90029255,Dandenong,7,0,0,6.52,7.96
90029388,Dandenong,3,0,0,6.52,7.96
90030535,MMC- Clayton,12,0,0,9.21,7.96
90031199,Casey,3,0,0,6.07,7.96
90031311,MMC- Clayton,4,0,0,9.21,7.96
90031341,MMC- Clayton,4,3,75,9.21,7.96
90032676,Casey,6,0,0,6.07,7.96
90032705,MMC- Clayton,2,0,0,9.21,7.96
90032929,MMC- Clayton,5,0,0,9.21,7.96
90033661,Casey,3,0,0,6.07,7.96
90033661,Dandenong,4,0,0,6.52,7.96
90033661,MMC- Clayton,15,5,33,9.21,7.96
90033774,Dandenong,3,0,0,6.52,7.96
90033774,MMC- Clayton,26,7,26,9.21,7.96
90033803,MMC- Clayton,9,0,0,9.21,7.96
90034135,MMC- Clayton,6,0,0,9.21,7.96
90034329,Dandenong,2,0,0,6.52,7.96
90034785,Casey,7,0,0,6.07,7.96
90034958,Casey,1,0,0,6.07,7.96
90035140,Casey,1,0,0,6.07,7.96
90035880,Dandenong,1,0,0,6.52,7.96
90036519,MMC- Clayton,1,0,0,9.21,7.96
90037802,MMC- Clayton,4,0,0,9.21,7.96
90037850,Dandenong,2,0,0,6.52,7.96
90038386,Casey,5,0,0,6.07,7.96
90039000,Casey,7,0,0,6.07,7.96
90039000,Dandenong,2,0,0,6.52,7.96
90039551,Casey,9,0,0,6.07,7.96
90039551,Dandenong,1,0,0,6.52,7.96
90039776,Casey,2,0,0,6.07,7.96
90040184,Dandenong,1,0,0,6.52,7.96
90040371,MMC- Clayton,3,0,0,9.21,7.96
90040773,Dandenong,4,1,25,6.52,7.96
90040881,Casey,6,0,0,6.07,7.96
90041374,Casey,1,0,0,6.07,7.96
90043227,MMC- Clayton,8,0,0,9.21,7.96
90043338,MMC- Clayton,8,0,0,9.21,7.96
90043759,Casey,6,0,0,6.07,7.96
90043890,Dandenong,1,0,0,6.52,7.96
90044135,Casey,14,0,0,6.07,7.96
90044868,Casey,8,0,0,6.07,7.96
90044868,Dandenong,2,0,0,6.52,7.96
90045378,MMC- Clayton,2,0,0,9.21,7.96
90046308,Casey,10,0,0,6.07,7.96
90046416,Casey,9,0,0,6.07,7.96
90047010,Dandenong,1,0,0,6.52,7.96
90047064,MMC- Clayton,1,0,0,9.21,7.96
90047604,Casey,2,0,0,6.07,7.96
90047937,Dandenong,1,0,0,6.52,7.96
90048709,Casey,4,0,0,6.07,7.96
90048747,MMC- Clayton,3,0,0,9.21,7.96
90049188,Dandenong,8,0,0,6.52,7.96
90051139,Dandenong,9,4,44,6.52,7.96
90051548,MMC- Clayton,8,0,0,9.21,7.96
90052261,MMC- Clayton,4,0,0,9.21,7.96
90052270,MMC- Clayton,15,4,26,9.21,7.96
90052753,Casey,2,0,0,6.07,7.96
90052916,Dandenong,9,0,0,6.52,7.96
90052916,MMC- Clayton,6,0,0,9.21,7.96
90053104,Dandenong,3,0,0,6.52,7.96
90053409,Casey,9,0,0,6.07,7.96
90053418,Casey,1,0,0,6.07,7.96
90053418,Dandenong,1,0,0,6.52,7.96
90053715,Casey,8,0,0,6.07,7.96
90053753,MMC- Clayton,2,0,0,9.21,7.96
90054690,Casey,6,0,0,6.07,7.96
90054690,Dandenong,5,2,40,6.52,7.96
90055388,Casey,4,0,0,6.07,7.96
90055388,Dandenong,2,0,0,6.52,7.96
90056255,MMC- Clayton,2,0,0,9.21,7.96
90056621,Casey,4,0,0,6.07,7.96
90056621,Dandenong,5,0,0,6.52,7.96
90056792,Casey,6,0,0,6.07,7.96
90057408,Dandenong,5,0,0,6.52,7.96
90057415,Casey,3,0,0,6.07,7.96
90057415,MMC- Clayton,2,0,0,9.21,7.96
90057890,Dandenong,1,0,0,6.52,7.96
90058180,MMC- Clayton,3,0,0,9.21,7.96
90058333,MMC- Clayton,3,0,0,9.21,7.96
90058786,Dandenong,1,0,0,6.52,7.96
90059584,Casey,1,0,0,6.07,7.96
90059584,Dandenong,3,0,0,6.52,7.96
90059584,MMC- Clayton,20,7,35,9.21,7.96
90059876,MMC- Clayton,1,0,0,9.21,7.96
90060546,MMC- Clayton,1,0,0,9.21,7.96
90060746,Casey,4,0,0,6.07,7.96
90060945,Casey,1,0,0,6.07,7.96
90060945,Dandenong,6,4,66,6.52,7.96
90060950,Dandenong,1,0,0,6.52,7.96
90060950,MMC- Clayton,7,0,0,9.21,7.96
90061220,Casey,5,0,0,6.07,7.96
90061220,MMC- Clayton,7,0,0,9.21,7.96
90062205,MMC- Clayton,38,1,2,9.21,7.96
90063200,Casey,8,0,0,6.07,7.96
90064512,Casey,10,0,0,6.07,7.96
90066524,MMC- Clayton,18,2,11,9.21,7.96
90068267,Dandenong,12,0,0,6.52,7.96
90068451,Dandenong,4,0,0,6.52,7.96
90069969,Casey,4,0,0,6.07,7.96
90070093,MMC- Clayton,21,0,0,9.21,7.96
90070899,Casey,1,0,0,6.07,7.96
90071350,Dandenong,3,0,0,6.52,7.96
90071662,Casey,9,0,0,6.07,7.96
90071914,Casey,4,0,0,6.07,7.96
90072373,Dandenong,3,0,0,6.52,7.96
90072373,MMC- Clayton,10,0,0,9.21,7.96
90074347,Casey,5,0,0,6.07,7.96
90074642,Dandenong,1,0,0,6.52,7.96
90074642,MMC- Clayton,2,0,0,9.21,7.96
90074963,Casey,4,0,0,6.07,7.96
90075008,MMC- Clayton,22,5,22,9.21,7.96
90075334,MMC- Clayton,13,0,0,9.21,7.96
90075767,Casey,4,0,0,6.07,7.96
90075767,Dandenong,3,1,33,6.52,7.96
90075796,MMC- Clayton,4,0,0,9.21,7.96
90076316,Casey,3,0,0,6.07,7.96
90076316,Dandenong,3,0,0,6.52,7.96
90076693,MMC- Clayton,8,0,0,9.21,7.96
90076797,MMC- Clayton,2,0,0,9.21,7.96
90077401,MMC- Clayton,18,0,0,9.21,7.96
90077628,Casey,12,0,0,6.07,7.96
90077920,MMC- Clayton,1,0,0,9.21,7.96
90078071,MMC- Clayton,14,3,21,9.21,7.96
90078140,Casey,4,0,0,6.07,7.96
90078263,Casey,7,0,0,6.07,7.96
90078705,MMC- Clayton,21,0,0,9.21,7.96
90078787,MMC- Clayton,3,0,0,9.21,7.96
90078814,Casey,2,0,0,6.07,7.96
90078814,MMC- Clayton,6,0,0,9.21,7.96
90079400,Casey,1,0,0,6.07,7.96
90079546,MMC- Clayton,15,4,26,9.21,7.96
90080314,Dandenong,2,0,0,6.52,7.96
90080314,MMC- Clayton,3,0,0,9.21,7.96
90080745,MMC- Clayton,8,0,0,9.21,7.96
90081325,MMC- Clayton,32,4,12,9.21,7.96
90081556,MMC- Clayton,5,0,0,9.21,7.96
90081588,MMC- Clayton,1,0,0,9.21,7.96
90081957,Dandenong,1,0,0,6.52,7.96
90081957,MMC- Clayton,14,0,0,9.21,7.96
90082317,Dandenong,4,0,0,6.52,7.96
90082317,MMC- Clayton,8,0,0,9.21,7.96
90082515,Casey,15,0,0,6.07,7.96
90082515,Dandenong,3,0,0,6.52,7.96
90082524,Casey,2,0,0,6.07,7.96
90082606,MMC- Clayton,1,0,0,9.21,7.96
90082724,Casey,15,2,13,6.07,7.96
90083027,Casey,7,0,0,6.07,7.96
90083027,MMC- Clayton,11,0,0,9.21,7.96
90083180,Casey,7,0,0,6.07,7.96
90083180,Dandenong,4,0,0,6.52,7.96
90083199,Dandenong,4,0,0,6.52,7.96
90083266,MMC- Clayton,29,3,10,9.21,7.96
90085012,Casey,4,0,0,6.07,7.96
90085012,Dandenong,1,0,0,6.52,7.96
90085043,MMC- Clayton,3,0,0,9.21,7.96
90085693,Casey,1,0,0,6.07,7.96
90085715,Casey,5,0,0,6.07,7.96
90085898,MMC- Clayton,11,0,0,9.21,7.96
90086088,MMC- Clayton,4,0,0,9.21,7.96
90086136,Casey,24,4,16,6.07,7.96
90086232,MMC- Clayton,3,0,0,9.21,7.96
90086511,Casey,14,0,0,6.07,7.96
90088199,Casey,7,0,0,6.07,7.96
90088199,Dandenong,4,0,0,6.52,7.96
90089123,Casey,10,0,0,6.07,7.96
90089947,Casey,8,0,0,6.07,7.96
90089975,Casey,7,0,0,6.07,7.96
90090296,Dandenong,5,0,0,6.52,7.96
90090681,Casey,8,4,50,6.07,7.96
90091034,MMC- Clayton,2,0,0,9.21,7.96
90093120,MMC- Clayton,7,0,0,9.21,7.96
90093190,Casey,1,0,0,6.07,7.96
90093190,MMC- Clayton,2,0,0,9.21,7.96
90093516,MMC- Clayton,6,0,0,9.21,7.96
90094007,Casey,3,0,0,6.07,7.96
90094126,MMC- Clayton,8,0,0,9.21,7.96
90094427,MMC- Clayton,15,0,0,9.21,7.96
90094829,Casey,2,0,0,6.07,7.96
90095252,Casey,5,0,0,6.07,7.96
90096616,MMC- Clayton,8,0,0,9.21,7.96
90096638,MMC- Clayton,1,0,0,9.21,7.96
90097823,Casey,5,3,60,6.07,7.96
90097823,Dandenong,7,0,0,6.52,7.96
90097823,MMC- Clayton,4,0,0,9.21,7.96
90098181,MMC- Clayton,17,4,23,9.21,7.96
90098405,Casey,5,0,0,6.07,7.96
90098744,MMC- Clayton,23,0,0,9.21,7.96
90098753,Casey,7,0,0,6.07,7.96
90098792,MMC- Clayton,1,0,0,9.21,7.96
90099597,MMC- Clayton,1,0,0,9.21,7.96
90099752,Dandenong,6,0,0,6.52,7.96
90099752,MMC- Clayton,12,0,0,9.21,7.96
90100013,Casey,9,0,0,6.07,7.96
90100582,Dandenong,7,0,0,6.52,7.96
90100582,MMC- Clayton,6,0,0,9.21,7.96
90101121,MMC- Clayton,2,0,0,9.21,7.96
90101122,MMC- Clayton,5,0,0,9.21,7.96
90101219,Dandenong,2,0,0,6.52,7.96
90101274,Casey,24,2,8,6.07,7.96
90101274,MMC- Clayton,33,4,12,9.21,7.96
90102876,MMC- Clayton,2,0,0,9.21,7.96
90102895,Casey,1,0,0,6.07,7.96
90102895,Dandenong,5,0,0,6.52,7.96
90103211,MMC- Clayton,1,0,0,9.21,7.96
90103318,Casey,23,0,0,6.07,7.96
90104011,Casey,8,0,0,6.07,7.96
90104011,Dandenong,5,0,0,6.52,7.96
90104797,Casey,5,3,60,6.07,7.96
90104880,Dandenong,3,3,100,6.52,7.96
90104983,MMC- Clayton,2,0,0,9.21,7.96
90105952,Casey,3,0,0,6.07,7.96
90107017,Dandenong,3,0,0,6.52,7.96
90107514,MMC- Clayton,18,0,0,9.21,7.96
