Treating.Clinician,Hospital,total,target,percentage,hospital_each_average,hospital_all_average
90027194,Casey,1,0,0,1.97,1.33
90028087,Casey,1,0,0,1.97,1.33
90028254,Dandenong,6,0,0,2.72,1.33
90028254,MMC- Clayton,21,1,4,0.77,1.33
90029255,Casey,1,0,0,1.97,1.33
90029255,Dandenong,7,1,14,2.72,1.33
90029388,Dandenong,3,0,0,2.72,1.33
90030535,MMC- Clayton,12,0,0,0.77,1.33
90031199,Casey,3,0,0,1.97,1.33
90031311,MMC- Clayton,4,0,0,0.77,1.33
90031341,MMC- Clayton,4,0,0,0.77,1.33
90032676,Casey,6,0,0,1.97,1.33
90032705,MMC- Clayton,2,0,0,0.77,1.33
90032929,MMC- Clayton,5,0,0,0.77,1.33
90033661,Casey,3,0,0,1.97,1.33
90033661,Dandenong,4,0,0,2.72,1.33
90033661,MMC- Clayton,15,0,0,0.77,1.33
90033774,Dandenong,3,0,0,2.72,1.33
90033774,MMC- Clayton,26,1,3,0.77,1.33
90033803,MMC- Clayton,9,0,0,0.77,1.33
90034135,MMC- Clayton,6,0,0,0.77,1.33
90034329,Dandenong,2,0,0,2.72,1.33
90034785,Casey,7,0,0,1.97,1.33
90034958,Casey,1,0,0,1.97,1.33
90035140,Casey,1,0,0,1.97,1.33
90035880,Dandenong,1,0,0,2.72,1.33
90036519,MMC- Clayton,1,0,0,0.77,1.33
90037802,MMC- Clayton,4,0,0,0.77,1.33
90037850,Dandenong,2,0,0,2.72,1.33
90038386,Casey,5,0,0,1.97,1.33
90039000,Casey,7,0,0,1.97,1.33
90039000,Dandenong,2,0,0,2.72,1.33
90039551,Casey,9,0,0,1.97,1.33
90039551,Dandenong,1,0,0,2.72,1.33
90039776,Casey,2,0,0,1.97,1.33
90040184,Dandenong,1,0,0,2.72,1.33
90040371,MMC- Clayton,3,0,0,0.77,1.33
90040773,Dandenong,4,0,0,2.72,1.33
90040881,Casey,6,0,0,1.97,1.33
90041374,Casey,1,0,0,1.97,1.33
90043227,MMC- Clayton,8,0,0,0.77,1.33
90043338,MMC- Clayton,8,1,12,0.77,1.33
90043759,Casey,6,0,0,1.97,1.33
90043890,Dandenong,1,0,0,2.72,1.33
90044135,Casey,14,1,7,1.97,1.33
90044868,Casey,8,0,0,1.97,1.33
90044868,Dandenong,2,0,0,2.72,1.33
90045378,MMC- Clayton,2,0,0,0.77,1.33
90046308,Casey,10,0,0,1.97,1.33
90046416,Casey,9,0,0,1.97,1.33
90047010,Dandenong,1,0,0,2.72,1.33
90047064,MMC- Clayton,1,0,0,0.77,1.33
90047604,Casey,2,0,0,1.97,1.33
90047937,Dandenong,1,0,0,2.72,1.33
90048709,Casey,4,0,0,1.97,1.33
90048747,MMC- Clayton,3,0,0,0.77,1.33
90049188,Dandenong,8,0,0,2.72,1.33
90051139,Dandenong,9,0,0,2.72,1.33
90051548,MMC- Clayton,8,0,0,0.77,1.33
90052261,MMC- Clayton,4,0,0,0.77,1.33
90052270,MMC- Clayton,15,0,0,0.77,1.33
90052753,Casey,2,0,0,1.97,1.33
90052916,Dandenong,9,0,0,2.72,1.33
90052916,MMC- Clayton,6,0,0,0.77,1.33
90053104,Dandenong,3,1,33,2.72,1.33
90053409,Casey,9,0,0,1.97,1.33
90053418,Casey,1,0,0,1.97,1.33
90053418,Dandenong,1,0,0,2.72,1.33
90053715,Casey,8,0,0,1.97,1.33
90053753,MMC- Clayton,2,0,0,0.77,1.33
90054690,Casey,6,0,0,1.97,1.33
90054690,Dandenong,5,0,0,2.72,1.33
90055388,Casey,4,0,0,1.97,1.33
90055388,Dandenong,2,0,0,2.72,1.33
90056255,MMC- Clayton,2,0,0,0.77,1.33
90056621,Casey,4,0,0,1.97,1.33
90056621,Dandenong,5,0,0,2.72,1.33
90056792,Casey,6,0,0,1.97,1.33
90057408,Dandenong,5,0,0,2.72,1.33
90057415,Casey,3,0,0,1.97,1.33
90057415,MMC- Clayton,2,0,0,0.77,1.33
90057890,Dandenong,1,0,0,2.72,1.33
90058180,MMC- Clayton,3,0,0,0.77,1.33
90058333,MMC- Clayton,3,0,0,0.77,1.33
90058786,Dandenong,1,0,0,2.72,1.33
90059584,Casey,1,0,0,1.97,1.33
90059584,Dandenong,3,1,33,2.72,1.33
90059584,MMC- Clayton,20,0,0,0.77,1.33
90059876,MMC- Clayton,1,0,0,0.77,1.33
90060546,MMC- Clayton,1,0,0,0.77,1.33
90060746,Casey,4,0,0,1.97,1.33
90060945,Casey,1,0,0,1.97,1.33
90060945,Dandenong,6,0,0,2.72,1.33
90060950,Dandenong,1,0,0,2.72,1.33
90060950,MMC- Clayton,7,0,0,0.77,1.33
90061220,Casey,5,0,0,1.97,1.33
90061220,MMC- Clayton,7,0,0,0.77,1.33
90062205,MMC- Clayton,38,0,0,0.77,1.33
90063200,Casey,8,0,0,1.97,1.33
90064512,Casey,10,0,0,1.97,1.33
90066524,MMC- Clayton,18,0,0,0.77,1.33
90068267,Dandenong,12,0,0,2.72,1.33
90068451,Dandenong,4,0,0,2.72,1.33
90069969,Casey,4,0,0,1.97,1.33
90070093,MMC- Clayton,21,0,0,0.77,1.33
90070899,Casey,1,0,0,1.97,1.33
90071350,Dandenong,3,0,0,2.72,1.33
90071662,Casey,9,0,0,1.97,1.33
90071914,Casey,4,0,0,1.97,1.33
90072373,Dandenong,3,0,0,2.72,1.33
90072373,MMC- Clayton,10,1,10,0.77,1.33
90074347,Casey,5,2,40,1.97,1.33
90074642,Dandenong,1,0,0,2.72,1.33
90074642,MMC- Clayton,2,0,0,0.77,1.33
90074963,Casey,4,2,50,1.97,1.33
90075008,MMC- Clayton,22,0,0,0.77,1.33
90075334,MMC- Clayton,13,0,0,0.77,1.33
90075767,Casey,4,0,0,1.97,1.33
90075767,Dandenong,3,0,0,2.72,1.33
90075796,MMC- Clayton,4,0,0,0.77,1.33
90076316,Casey,3,0,0,1.97,1.33
90076316,Dandenong,3,0,0,2.72,1.33
90076693,MMC- Clayton,8,0,0,0.77,1.33
90076797,MMC- Clayton,2,0,0,0.77,1.33
90077401,MMC- Clayton,18,0,0,0.77,1.33
90077628,Casey,12,1,8,1.97,1.33
90077920,MMC- Clayton,1,0,0,0.77,1.33
90078071,MMC- Clayton,14,0,0,0.77,1.33
90078140,Casey,4,0,0,1.97,1.33
90078263,Casey,7,0,0,1.97,1.33
90078705,MMC- Clayton,21,0,0,0.77,1.33
90078787,MMC- Clayton,3,0,0,0.77,1.33
90078814,Casey,2,0,0,1.97,1.33
90078814,MMC- Clayton,6,0,0,0.77,1.33
90079400,Casey,1,0,0,1.97,1.33
90079546,MMC- Clayton,15,0,0,0.77,1.33
90080314,Dandenong,2,0,0,2.72,1.33
90080314,MMC- Clayton,3,0,0,0.77,1.33
90080745,MMC- Clayton,8,1,12,0.77,1.33
90081325,MMC- Clayton,32,0,0,0.77,1.33
90081556,MMC- Clayton,5,0,0,0.77,1.33
90081588,MMC- Clayton,1,0,0,0.77,1.33
90081957,Dandenong,1,0,0,2.72,1.33
90081957,MMC- Clayton,14,0,0,0.77,1.33
90082317,Dandenong,4,0,0,2.72,1.33
90082317,MMC- Clayton,8,0,0,0.77,1.33
90082515,Casey,15,2,13,1.97,1.33
90082515,Dandenong,3,0,0,2.72,1.33
90082524,Casey,2,0,0,1.97,1.33
90082606,MMC- Clayton,1,0,0,0.77,1.33
90082724,Casey,15,0,0,1.97,1.33
90083027,Casey,7,0,0,1.97,1.33
90083027,MMC- Clayton,11,0,0,0.77,1.33
90083180,Casey,7,0,0,1.97,1.33
90083180,Dandenong,4,0,0,2.72,1.33
90083199,Dandenong,4,0,0,2.72,1.33
90083266,MMC- Clayton,29,0,0,0.77,1.33
90085012,Casey,4,0,0,1.97,1.33
90085012,Dandenong,1,0,0,2.72,1.33
90085043,MMC- Clayton,3,0,0,0.77,1.33
90085693,Casey,1,0,0,1.97,1.33
90085715,Casey,5,0,0,1.97,1.33
90085898,MMC- Clayton,11,0,0,0.77,1.33
90086088,MMC- Clayton,4,0,0,0.77,1.33
90086136,Casey,24,0,0,1.97,1.33
90086232,MMC- Clayton,3,0,0,0.77,1.33
90086511,Casey,14,1,7,1.97,1.33
90088199,Casey,7,1,14,1.97,1.33
90088199,Dandenong,4,0,0,2.72,1.33
90089123,Casey,10,0,0,1.97,1.33
90089947,Casey,8,0,0,1.97,1.33
90089975,Casey,7,0,0,1.97,1.33
90090296,Dandenong,5,0,0,2.72,1.33
90090681,Casey,8,0,0,1.97,1.33
90091034,MMC- Clayton,2,0,0,0.77,1.33
90093120,MMC- Clayton,7,0,0,0.77,1.33
90093190,Casey,1,0,0,1.97,1.33
90093190,MMC- Clayton,2,0,0,0.77,1.33
90093516,MMC- Clayton,6,0,0,0.77,1.33
90094007,Casey,3,0,0,1.97,1.33
90094126,MMC- Clayton,8,0,0,0.77,1.33
90094427,MMC- Clayton,15,0,0,0.77,1.33
90094829,Casey,2,0,0,1.97,1.33
90095252,Casey,5,0,0,1.97,1.33
90096616,MMC- Clayton,8,0,0,0.77,1.33
90096638,MMC- Clayton,1,0,0,0.77,1.33
90097823,Casey,5,0,0,1.97,1.33
90097823,Dandenong,7,0,0,2.72,1.33
90097823,MMC- Clayton,4,0,0,0.77,1.33
90098181,MMC- Clayton,17,0,0,0.77,1.33
90098405,Casey,5,0,0,1.97,1.33
90098744,MMC- Clayton,23,0,0,0.77,1.33
90098753,Casey,7,0,0,1.97,1.33
90098792,MMC- Clayton,1,0,0,0.77,1.33
90099597,MMC- Clayton,1,0,0,0.77,1.33
90099752,Dandenong,6,0,0,2.72,1.33
90099752,MMC- Clayton,12,0,0,0.77,1.33
90100013,Casey,9,1,11,1.97,1.33
90100582,Dandenong,7,0,0,2.72,1.33
90100582,MMC- Clayton,6,0,0,0.77,1.33
90101121,MMC- Clayton,2,0,0,0.77,1.33
