Treating.Clinician,Hospital,total,target,percentage,hospital_each_average,hospital_all_average
90162772,Dandenong,1,0,0,0,0.03
90162832,Casey,1,0,0,0,0.03
90162880,Casey,4,0,0,0,0.03
90162896,MMC- Clayton,13,0,0,0.05,0.03
90162925,Casey,17,0,0,0,0.03
90162953,Casey,2,0,0,0,0.03
90163243,Casey,4,0,0,0,0.03
90164074,Casey,1,0,0,0,0.03
90164142,Dandenong,2,0,0,0,0.03
90164194,Casey,1,0,0,0,0.03
90164305,Casey,8,0,0,0,0.03
90165262,MMC- Clayton,16,0,0,0.05,0.03
90165844,Dandenong,2,0,0,0,0.03
90166103,MMC- Clayton,7,0,0,0.05,0.03
90166170,MMC- Clayton,13,0,0,0.05,0.03
90166333,MMC- Clayton,2,0,0,0.05,0.03
90166347,MMC- Clayton,2,0,0,0.05,0.03
