Treating.Clinician,Hospital,total,target,percentage,hospital_each_average,hospital_all_average
90053104,Dandenong,3,0,0,0,0.03
90053409,Casey,9,0,0,0,0.03
90053418,Casey,1,0,0,0,0.03
90053418,Dandenong,1,0,0,0,0.03
90053715,Casey,8,0,0,0,0.03
90053753,MMC- Clayton,2,0,0,0.05,0.03
90054690,Casey,6,0,0,0,0.03
90054690,Dandenong,5,0,0,0,0.03
90055388,Casey,4,0,0,0,0.03
90055388,Dandenong,2,0,0,0,0.03
90056255,MMC- Clayton,2,0,0,0.05,0.03
90056621,Casey,4,0,0,0,0.03
90056621,Dandenong,5,0,0,0,0.03
90056792,Casey,6,0,0,0,0.03
90057408,Dandenong,5,0,0,0,0.03
90057415,Casey,3,0,0,0,0.03
90057415,MMC- Clayton,2,0,0,0.05,0.03
90057890,Dandenong,1,0,0,0,0.03
90058180,MMC- Clayton,3,0,0,0.05,0.03
90058333,MMC- Clayton,3,0,0,0.05,0.03
90058786,Dandenong,1,0,0,0,0.03
90059584,Casey,1,0,0,0,0.03
90059584,Dandenong,3,0,0,0,0.03
90059584,MMC- Clayton,20,0,0,0.05,0.03
90059876,MMC- Clayton,1,0,0,0.05,0.03
90060546,MMC- Clayton,1,0,0,0.05,0.03
90060746,Casey,4,0,0,0,0.03
90060945,Casey,1,0,0,0,0.03
90060945,Dandenong,6,0,0,0,0.03
90060950,Dandenong,1,0,0,0,0.03
90060950,MMC- Clayton,7,0,0,0.05,0.03
90061220,Casey,5,0,0,0,0.03
90061220,MMC- Clayton,7,0,0,0.05,0.03
90062205,MMC- Clayton,38,0,0,0.05,0.03
90063200,Casey,8,0,0,0,0.03
90064512,Casey,10,0,0,0,0.03
90066524,MMC- Clayton,18,0,0,0.05,0.03
90068267,Dandenong,12,0,0,0,0.03
90068451,Dandenong,4,0,0,0,0.03
90069969,Casey,4,0,0,0,0.03
90070093,MMC- Clayton,21,0,0,0.05,0.03
90070899,Casey,1,0,0,0,0.03
90071350,Dandenong,3,0,0,0,0.03
90071662,Casey,9,0,0,0,0.03
90071914,Casey,4,0,0,0,0.03
90072373,Dandenong,3,0,0,0,0.03
90072373,MMC- Clayton,10,0,0,0.05,0.03
90074347,Casey,5,0,0,0,0.03
90074642,Dandenong,1,0,0,0,0.03
90074642,MMC- Clayton,2,0,0,0.05,0.03
90074963,Casey,4,0,0,0,0.03
90075008,MMC- Clayton,22,0,0,0.05,0.03
90075334,MMC- Clayton,13,0,0,0.05,0.03
90075767,Casey,4,0,0,0,0.03
90075767,Dandenong,3,0,0,0,0.03
90075796,MMC- Clayton,4,0,0,0.05,0.03
90076316,Casey,3,0,0,0,0.03
90076316,Dandenong,3,0,0,0,0.03
90076693,MMC- Clayton,8,0,0,0.05,0.03
90076797,MMC- Clayton,2,0,0,0.05,0.03
90077401,MMC- Clayton,18,0,0,0.05,0.03
90077628,Casey,12,0,0,0,0.03
90077920,MMC- Clayton,1,0,0,0.05,0.03
90078071,MMC- Clayton,14,0,0,0.05,0.03
90078140,Casey,4,0,0,0,0.03
90078263,Casey,7,0,0,0,0.03
90078705,MMC- Clayton,21,0,0,0.05,0.03
90078787,MMC- Clayton,3,0,0,0.05,0.03
90078814,Casey,2,0,0,0,0.03
90078814,MMC- Clayton,6,0,0,0.05,0.03
90079400,Casey,1,0,0,0,0.03
90079546,MMC- Clayton,15,0,0,0.05,0.03
90080314,Dandenong,2,0,0,0,0.03
90080314,MMC- Clayton,3,0,0,0.05,0.03
90080745,MMC- Clayton,8,0,0,0.05,0.03
90081325,MMC- Clayton,32,0,0,0.05,0.03
90081556,MMC- Clayton,5,0,0,0.05,0.03
90081588,MMC- Clayton,1,0,0,0.05,0.03
