Treating.Clinician,total,Hospital,target,percentage,hospital_each_average,hospital_all_average
90162065,17,Casey,0,0,2.48,3.22
90162082,8,Casey,0,0,2.48,3.22
90162770,7,Casey,1,14,2.48,3.22
90162832,1,Casey,0,0,2.48,3.22
90162880,4,Casey,0,0,2.48,3.22
90162925,17,Casey,1,5,2.48,3.22
90162953,2,Casey,0,0,2.48,3.22
90163243,4,Casey,0,0,2.48,3.22
90164074,1,Casey,0,0,2.48,3.22
90164194,1,Casey,0,0,2.48,3.22
90164305,8,Casey,0,0,2.48,3.22
