Treating.Clinician,total,Hospital,target,percentage,hospital_each_average,hospital_all_average
90099752,12,MMC- Clayton,1,8,3.7,3.22
90100582,6,MMC- Clayton,1,16,3.7,3.22
90101121,2,MMC- Clayton,0,0,3.7,3.22
90101122,5,MMC- Clayton,0,0,3.7,3.22
90101274,33,MMC- Clayton,1,3,3.7,3.22
90102876,2,MMC- Clayton,0,0,3.7,3.22
90103211,1,MMC- Clayton,0,0,3.7,3.22
90104983,2,MMC- Clayton,0,0,3.7,3.22
90107514,18,MMC- Clayton,3,16,3.7,3.22
90108333,1,MMC- Clayton,0,0,3.7,3.22
90109179,6,MMC- Clayton,0,0,3.7,3.22
90110663,1,MMC- Clayton,0,0,3.7,3.22
90111201,1,MMC- Clayton,0,0,3.7,3.22
90111262,1,MMC- Clayton,0,0,3.7,3.22
90111526,2,MMC- Clayton,0,0,3.7,3.22
90113108,2,MMC- Clayton,0,0,3.7,3.22
90113497,14,MMC- Clayton,0,0,3.7,3.22
90115768,1,MMC- Clayton,0,0,3.7,3.22
90116410,1,MMC- Clayton,0,0,3.7,3.22
90117588,7,MMC- Clayton,0,0,3.7,3.22
90118416,11,MMC- Clayton,1,9,3.7,3.22
90119011,1,MMC- Clayton,0,0,3.7,3.22
90119285,8,MMC- Clayton,0,0,3.7,3.22
90119577,43,MMC- Clayton,0,0,3.7,3.22
90119823,12,MMC- Clayton,2,16,3.7,3.22
90119848,1,MMC- Clayton,0,0,3.7,3.22
90119860,2,MMC- Clayton,0,0,3.7,3.22
90119901,5,MMC- Clayton,1,20,3.7,3.22
90119988,4,MMC- Clayton,0,0,3.7,3.22
90121871,2,MMC- Clayton,0,0,3.7,3.22
90122677,32,MMC- Clayton,1,3,3.7,3.22
90123249,8,MMC- Clayton,0,0,3.7,3.22
90123309,3,MMC- Clayton,0,0,3.7,3.22
90123339,16,MMC- Clayton,1,6,3.7,3.22
90124438,21,MMC- Clayton,0,0,3.7,3.22
90124476,8,MMC- Clayton,0,0,3.7,3.22
90124487,2,MMC- Clayton,0,0,3.7,3.22
90124492,3,MMC- Clayton,0,0,3.7,3.22
90124502,2,MMC- Clayton,0,0,3.7,3.22
90124505,8,MMC- Clayton,1,12,3.7,3.22
90124517,3,MMC- Clayton,0,0,3.7,3.22
90124523,2,MMC- Clayton,0,0,3.7,3.22
90124524,11,MMC- Clayton,0,0,3.7,3.22
90124526,19,MMC- Clayton,1,5,3.7,3.22
90124543,3,MMC- Clayton,0,0,3.7,3.22
90124546,2,MMC- Clayton,0,0,3.7,3.22
90124561,9,MMC- Clayton,0,0,3.7,3.22
90124563,1,MMC- Clayton,0,0,3.7,3.22
90124585,3,MMC- Clayton,0,0,3.7,3.22
90124609,24,MMC- Clayton,2,8,3.7,3.22
90124621,24,MMC- Clayton,1,4,3.7,3.22
90124633,2,MMC- Clayton,0,0,3.7,3.22
90124637,6,MMC- Clayton,1,16,3.7,3.22
90124682,5,MMC- Clayton,0,0,3.7,3.22
90124698,14,MMC- Clayton,0,0,3.7,3.22
90127293,5,MMC- Clayton,1,20,3.7,3.22
90127515,4,MMC- Clayton,0,0,3.7,3.22
90136838,17,MMC- Clayton,1,5,3.7,3.22
90136845,1,MMC- Clayton,0,0,3.7,3.22
90136849,4,MMC- Clayton,0,0,3.7,3.22
90136850,16,MMC- Clayton,1,6,3.7,3.22
90137813,1,MMC- Clayton,0,0,3.7,3.22
90138704,9,MMC- Clayton,1,11,3.7,3.22
90138705,9,MMC- Clayton,0,0,3.7,3.22
90141884,4,MMC- Clayton,0,0,3.7,3.22
90142519,22,MMC- Clayton,0,0,3.7,3.22
90142824,8,MMC- Clayton,1,12,3.7,3.22
90142841,1,MMC- Clayton,0,0,3.7,3.22
90144405,39,MMC- Clayton,2,5,3.7,3.22
90144435,1,MMC- Clayton,0,0,3.7,3.22
90144443,20,MMC- Clayton,2,10,3.7,3.22
90144607,3,MMC- Clayton,0,0,3.7,3.22
90144736,13,MMC- Clayton,0,0,3.7,3.22
90144787,5,MMC- Clayton,0,0,3.7,3.22
90144878,5,MMC- Clayton,0,0,3.7,3.22
90144901,13,MMC- Clayton,1,7,3.7,3.22
90144911,5,MMC- Clayton,0,0,3.7,3.22
90145024,2,MMC- Clayton,0,0,3.7,3.22
90145085,12,MMC- Clayton,0,0,3.7,3.22
90145086,30,MMC- Clayton,1,3,3.7,3.22
90145218,6,MMC- Clayton,0,0,3.7,3.22
90145257,6,MMC- Clayton,0,0,3.7,3.22
90145261,1,MMC- Clayton,0,0,3.7,3.22
